R&D Spend,Administration,Marketing Spend,State,Profit
76378.26323364206,142264.35609752662,143824.8045486005,Florida,99239.98039280817
4315.954683600146,116130.13723462823,297712.35685678956,Florida,50980.489819276
74749.04245508935,142415.35077078766,134881.56551650347,Florida,108997.90367345086
61649.25847142576,139980.09235436437,138594.1353584252,California,111353.08050759997
27558.006548740625,117774.0521228503,171962.46140904177,California,77206.2571465366
124506.49486155562,107655.35658880616,314627.9080656415,California,149101.08559783653
155014.29215992516,98958.1918881674,408054.25938159163,Florida,190108.9490638727
126785.65030915453,111305.45180037797,309133.2170729661,California,154992.30051249193
71204.03214157565,144559.5622405444,139389.3087258274,Florida,107085.01446634284
77874.91366528619,101601.450503494,143262.41692263636,New York,105855.66947580327
65798.69989838298,105623.99080902166,305339.3006272571,Florida,111593.87759572799
73828.18207059355,145112.98806519373,135424.0404691773,Florida,107872.97098631332
98939.88783268434,91368.44373425179,240211.0371805356,California,141575.24451369472
65335.96085755764,138553.65007038196,138268.01649820252,California,106596.10163505528
238.4003516519947,51831.00952439679,0.0,New York,33576.87550009568
30768.507183032958,118973.07489804502,175694.54590795105,California,80061.4194192569
71900.04600209043,108002.87306910587,296146.37152912386,Florida,111192.48902126568
62386.92056438844,152250.42808350883,85192.4352152007,New York,97361.85438605395
66431.62648373134,180617.20311447734,128226.49847596527,Florida,102723.47642924267
144460.63209904666,117376.54875073084,371812.66780105635,New York,183281.33548743458
23091.140495258576,81945.73339477881,163956.28678291317,Florida,76651.20324033876
136095.55243014914,99624.24380584864,364523.557696622,New York,157521.442399526
47729.380016498275,49396.627449215324,195487.10579684676,California,92635.57406963856
3886.795892097778,133080.3783782733,0.0,California,47044.36805189957
71110.81837136231,125439.00295575275,310005.17574126535,Florida,108538.46038164714
95462.08374228513,113847.67888662014,290326.24313480273,Florida,128291.39668294133
94095.79330824343,142958.93825200177,278989.88864989893,New York,122326.03746513023
68533.62458383352,105297.61644746343,304165.63827499555,Florida,111865.36209951271
139978.5563272756,119466.34549367648,381310.4906999523,New York,185665.53710492337
46360.6585366928,84132.46823142035,200470.94141569798,New York,100055.87309895713
63852.48294170187,128455.19322843937,53374.289022738194,California,96159.0692398366
122068.4766653397,147963.0718746801,310669.74005700636,New York,150251.0639006201
125021.99942660553,109870.72017563731,316140.91118887294,California,152310.1192716269
1888.3334206219772,49910.09400967178,0.0,New York,37983.24756957572
63047.760634358616,118714.19965704925,82841.34075604353,Florida,101011.73731239437
15074.307123875611,126965.33853860598,43328.9659208226,New York,70562.9824690719
96287.13769945619,127548.06164615661,250733.99656876113,Florida,143623.49651312424
0.0,135655.04945829933,3829.120944615723,California,44928.18109608246
59282.65916808986,153590.53778842816,104682.88856013358,New York,99062.5230292015
84276.67837864891,153154.84769854377,8785.612302279966,New York,121117.4291006487
163721.2138679572,135558.9150879016,467740.12666245515,New York,191524.8652710653
77941.94527246745,144054.58016760313,135322.5615519573,Florida,111155.95092547045
143986.24332014986,89752.11020117349,350493.07874073385,Florida,166885.95089763866
66804.48271041323,180687.44683505312,128318.65634960018,Florida,104118.2120639995
142645.28833909394,90259.17566471412,345531.6829654025,Florida,167056.6825670662
26178.75035279692,128080.10969499277,184945.86356276245,Florida,89714.35055831356
143586.3330680687,118546.96888512121,385637.0120571352,New York,186619.86409564145
43869.5286072226,84380.48711591995,208194.38895506994,New York,95009.3524974066
144328.38825205897,90522.37796818481,372516.4685907112,Florida,165147.830824524
0.0,124325.75682511908,2861.39876976099,New York,66598.70709287265
73487.47607054895,155613.0623761057,292048.43136197916,New York,105182.87223536093
54673.52557925695,105258.89003198566,219154.73576476614,Florida,100969.2894429084
166443.47886926227,136046.6845539137,468881.45422947255,New York,189956.49014363438
169941.78336363658,137169.49653490688,474680.9066447811,New York,191980.10668419162
97083.77423070806,91344.2572058519,252453.10328461294,California,146039.5299684583
92135.38312423126,135997.79442184087,252486.26788692552,California,135378.10858820344
36492.26678258684,83521.08827103105,177701.54150325173,California,77540.70905295544
72815.84344666298,123134.89425423788,310556.6040911429,Florida,111254.4766045019
68696.3351348526,129023.53179682663,349620.10014888225,New York,108728.90644287513
163500.73649684608,135860.755074226,482504.09047354414,New York,195591.92736765972
52915.68600497748,102402.71908394215,203123.4534689097,Florida,101190.80244585806
162066.33404696995,150927.40279647583,449352.8624395643,California,193761.84548123713
67335.06696975618,103072.88290713537,302072.5931915226,Florida,111068.594014225
160059.35150300685,151276.8912448494,448413.89746019576,California,191921.21702697076
116536.86367798966,122868.0659723681,260092.1423399001,New York,133120.44069263
27923.064581836534,129086.48549928167,207961.3598724833,Florida,90096.59665805101
72195.47387181962,122527.31719611684,270849.7541389095,California,127882.95155539349
63702.3792869452,104318.94882732538,309654.57953742257,Florida,111707.52623934289
0.0,138725.61976123104,1903.399762279113,California,41413.937029826346
132614.22239786613,146555.755300234,314925.1565560923,Florida,157241.23142145437
111817.37819790326,122131.22982144375,267589.2977338893,New York,131704.2472912496
119671.89359472868,150366.5116650048,315204.09922429343,New York,151148.85172155907
22755.41230094775,65797.85228551981,189913.51578425596,New York,79284.25200806977
131186.13184529412,148770.6381403189,122751.36261558294,California,155519.1934850824
100741.58747818244,89968.98848786906,251860.57570123565,California,146934.93386004426
141132.95089777774,89615.24253609145,357942.3654326627,Florida,165654.64597095296
964.5712242078349,51105.7001400633,2997.4491240799657,New York,36985.249787901725
144946.39235957476,115743.88981694385,375819.7177096609,New York,182936.15222054638
151177.2705111797,101665.78448791952,409650.3314882666,Florida,185805.85946066314
62455.31230000945,114324.68780661804,93409.60868582851,Florida,100815.15444073448
67312.20251578947,153068.1578667205,104379.03495386368,New York,102295.7787109669
21899.614649482053,85368.45849697618,168053.04399179353,Florida,77797.31566125897
41353.2694597949,48184.99353156131,198561.1471150169,California,91135.8486419267
11243.29848522242,130090.09038563812,44338.02078753417,New York,65421.97231026772
70923.50564521036,113703.25561544656,297518.74044029415,California,120261.54606737515
